pitcher_name,feature,CH,CS,CU,FC,FF,FS,KC,SI,SL,ST,SV
Antonio Senzatela,prev_description_ball,0.02892474819976512,,0.035793123668315455,0.00282428691945507,-0.12856413839598207,,,,0.05991250322416119,,
Antonio Senzatela,prev_description_blocked_ball,0.0447547215766985,,0.007256679512569316,-0.009955823008517693,-0.052502582089739624,,,,-0.013437619694656382,,
Antonio Senzatela,prev_description_called_strike,0.08357832460798778,,-0.0025881506903608726,-0.0007999797331334384,-0.09617307408425786,,,,0.01698777141124737,,
Antonio Senzatela,prev_description_foul,0.03320674748067331,,0.038250706252979993,0.0005373720194704079,-0.052571776578824,,,,-0.02082252961061293,,
Antonio Senzatela,prev_description_foul_bunt,-0.09943886411566266,,-0.18209838188664426,0.002082840619904523,0.42601512871835057,,,,-0.13796157489128236,,
Antonio Senzatela,prev_description_foul_tip,0.024096818871692252,,0.02561586113786039,0.0016404997897803474,-0.09841395690673978,,,,0.05257344517784562,,
Antonio Senzatela,prev_description_swinging_strike,0.00823528616322915,,0.1742405635700546,0.0247890262476493,-0.27017963894759006,,,,0.06316693189637997,,
Antonio Senzatela,prev_description_swinging_strike_blocked,0.009004742709062027,,-0.15711662513502167,-0.002740951389028066,-0.011795335100658777,,,,0.16443864636112426,,
Antonio Senzatela,prev_pitch_type_CU,-0.1077072952533232,,0.100187702229229,-0.006277499020182898,0.08771553620322646,,,,-0.06402229436294968,,
Antonio Senzatela,prev_pitch_type_FC,-0.09547171260186378,,0.08290383184658248,0.3065367212946635,-0.26429084468296277,,,,-0.01752560338004396,,
Antonio Senzatela,prev_pitch_type_FF,-0.1174070565212202,,0.09103186864762719,-0.0038405825868971983,-0.0051068675754310814,,,,0.04100748761836247,,
Antonio Senzatela,prev_pitch_type_SI,-0.026031605635138684,,-0.10251604462855944,-0.019532437996504157,-0.1603511507425266,,,,0.07133438761132753,,
Antonio Senzatela,prev_pitch_type_SL,-0.11406142418884753,,0.02668257942300065,-0.006379828516846197,0.01330597348759339,,,,0.08450138386594026,,
Antonio Senzatela,prev_pitch_type_START,-0.1323625254934476,,0.06064622357023967,-0.01837727146557457,0.2841853733854571,,,,-0.18485757387421836,,
Antonio Senzatela,stand_R,-0.11053145190391635,,-0.056747248815804334,0.005367950237360612,-0.042514027379626916,,,,0.19932685053309496,,
Bailey Ober,count_0-1,-0.04698688415857328,,0.02232055364831491,,-0.03999753776644486,,,0.008455795713520663,-0.011672016937074415,0.06788008950025712,
Bailey Ober,count_0-2,0.14650277065490136,,-0.007462136675202475,,-0.17944396532619514,,,-0.02905718815150784,0.012795400845282882,0.056665118652721065,
Bailey Ober,count_1-0,-0.012249794574860827,,0.004444105017864249,,-0.08761230287988202,,,0.038069393544986126,0.04031198468471687,0.01703661420717639,
Bailey Ober,count_1-1,-0.03489256889718519,,-0.002735302037118098,,-0.08336795655825853,,,0.015720154809992743,0.07982046321219415,0.025455209470375113,
Bailey Ober,count_1-2,0.15478899717322064,,-0.01727412181522185,,-0.14183560254162444,,,-0.021614359296004124,-0.020287891200542463,0.04622297768017223,
