target_pitch_type,target_pitch_label,feature,mean_beta,mean_abs_beta,pitchers,mean_target_rate
FF,4-seam fastball (FF),prev_description_called_strike,-0.008536945777926571,0.05789683883747911,96,0.33159057514727214
FF,4-seam fastball (FF),prev_pitch_type_SV,0.013767390947011793,0.023489417798002656,4,0.2106801707229127
FS,splitter (FS),prev_description_missed_bunt,0.05658385743991613,0.2591908595500682,9,0.17140654391697802
FS,splitter (FS),count_3-0,-0.12924556652203123,0.20793866438741165,18,0.18738253213970857
FS,splitter (FS),count_1-2,0.14340988640701785,0.19281859108204008,18,0.18738253213970857
FS,splitter (FS),count_0-2,0.14279769435252926,0.18988358536882202,18,0.18738253213970857
FS,splitter (FS),count_3-1,-0.07722394695935736,0.18452927445204864,18,0.18738253213970857
FS,splitter (FS),prev_pitch_type_CS,-0.17894320684524043,0.17894320684524043,1,0.2090818363273453
FS,splitter (FS),count_2-0,-0.07479315355757926,0.1748181943198911,18,0.18738253213970857
FS,splitter (FS),count_2-2,0.10660527363431882,0.1588126398010629,18,0.18738253213970857
FS,splitter (FS),count_3-2,-0.020287359423806516,0.1475397634419988,18,0.18738253213970857
FS,splitter (FS),prev_description_foul_bunt,0.0060055289412439435,0.14095828296802074,18,0.18738253213970857
FS,splitter (FS),count_2-1,0.006264488563718521,0.1382870443556619,18,0.18738253213970857
FS,splitter (FS),prev_pitch_type_START,-0.054272455021855084,0.13659017790311273,18,0.18738253213970857
FS,splitter (FS),count_1-1,0.0921217098707054,0.12959863070610317,18,0.18738253213970857
FS,splitter (FS),prev_description_swinging_strike_blocked,-0.006040621290244643,0.12941756272209692,16,0.1836118529923316
FS,splitter (FS),stand_R,-0.08256863080397762,0.1215869397886522,18,0.18738253213970857
FS,splitter (FS),count_0-1,0.09045179001484974,0.12017591277985441,18,0.18738253213970857
FS,splitter (FS),count_1-0,0.004747524388632364,0.11924997845928094,18,0.18738253213970857
FS,splitter (FS),prev_pitch_type_SL,-0.0592986680983742,0.11148757946274984,15,0.19321497012842492
FS,splitter (FS),prev_pitch_type_SI,0.019754735133134877,0.10927656416808895,17,0.19222910709758417
FS,splitter (FS),prev_description_pitchout,-0.10925920953179233,0.10925920953179233,2,0.16565177748971213
FS,splitter (FS),prev_pitch_type_PO,-0.10925920953179064,0.10925920953179064,2,0.16565177748971213
FS,splitter (FS),prev_description_foul_tip,-0.017998481035292314,0.10829747685333667,18,0.18738253213970857
FS,splitter (FS),prev_pitch_type_SV,0.10119290450378367,0.10119290450378367,1,0.24181895452613686
