pitcher_name,pitch_type,pitches,avg_velocity,whiff_rate,weak_contact_rate,mean_pitcher_run_value,pitch_label,pitcher_total_pitches,usage_rate,in_arsenal,arsenal_size
Erick Fedde,SI,644,93.22950310559007,0.040372670807453416,0.10403726708074534,-0.0025807453416149067,sinker (SI),1936,0.33264462809917356,True,4
Erick Fedde,FC,545,90.29926605504586,0.10275229357798166,0.12110091743119267,-0.01701834862385321,cutter (FC),1936,0.2815082644628099,True,4
Erick Fedde,ST,506,82.61620553359684,0.11857707509881422,0.09881422924901186,0.0015158102766798405,sweeper (ST),1936,0.26136363636363635,True,4
Erick Fedde,CH,221,87.61357466063347,0.06334841628959276,0.13574660633484162,-0.0016651583710407237,changeup (CH),1936,0.11415289256198347,True,4
Erick Fedde,FF,20,92.69,0.1,0.1,0.0319,4-seam fastball (FF),1936,0.010330578512396695,False,4
Framber Valdez,SI,1076,94.26384758364311,0.056691449814126396,0.12825278810408922,0.009193308550185873,sinker (SI),2327,0.46239793725827244,True,4
Framber Valdez,CU,770,79.43103896103896,0.21298701298701297,0.07142857142857142,0.0016584415584415587,curveball (CU),2327,0.3308981521272024,True,4
Framber Valdez,CH,408,89.7904411764706,0.14950980392156862,0.10049019607843138,-0.0043897058823529405,changeup (CH),2327,0.17533304684142673,True,4
Framber Valdez,SL,69,84.33623188405797,0.13043478260869565,0.10144927536231885,0.003565217391304348,slider (SL),2327,0.02965191233347658,True,4
Framber Valdez,FF,4,95.775,0.0,0.0,-0.734,4-seam fastball (FF),2327,0.0017189514396218307,False,4
Freddy Peralta,FF,1324,94.78814199395771,0.1095166163141994,0.07930513595166164,0.0077832326283987915,4-seam fastball (FF),2486,0.5325824617860017,True,5
Freddy Peralta,CH,533,88.91350844277675,0.1801125703564728,0.09568480300187618,0.01247279549718574,changeup (CH),2486,0.21440064360418343,True,5
Freddy Peralta,CU,315,79.4968253968254,0.13968253968253969,0.10793650793650794,0.014,curveball (CU),2486,0.12670957361222848,True,5
Freddy Peralta,SL,231,83.87359307359307,0.22077922077922077,0.08658008658008658,0.0032727272727272726,slider (SL),2486,0.09292035398230089,True,5
Freddy Peralta,CS,55,74.7890909090909,0.2727272727272727,0.14545454545454545,0.00972727272727273,CS (CS),2486,0.022123893805309734,True,5
Freddy Peralta,ST,28,80.0,0.25,0.07142857142857142,0.046964285714285715,sweeper (ST),2486,0.011263073209975865,False,5
Garrett Crochet,FF,906,96.39635761589405,0.13796909492273732,0.06181015452538632,-0.008397350993377484,4-seam fastball (FF),2550,0.3552941176470588,True,5
Garrett Crochet,FC,703,90.83854907539119,0.12944523470839261,0.12091038406827881,0.016620199146514938,cutter (FC),2550,0.27568627450980393,True,5
Garrett Crochet,SI,428,95.99742990654205,0.08644859813084112,0.11448598130841121,0.024514018691588788,sinker (SI),2550,0.16784313725490196,True,5
Garrett Crochet,ST,406,82.74950738916257,0.26354679802955666,0.1206896551724138,0.03810344827586207,sweeper (ST),2550,0.1592156862745098,True,5
Garrett Crochet,CH,105,87.70095238095239,0.19047619047619047,0.09523809523809523,0.015552380952380953,changeup (CH),2550,0.041176470588235294,True,5
Garrett Crochet,FS,1,93.1,0.0,0.0,-0.099,splitter (FS),2550,0.000392156862745098,False,5
Garrett Crochet,UN,1,21.7,0.0,0.0,-0.027,UN (UN),2550,0.000392156862745098,False,5
Gavin Williams,FF,862,96.64466357308585,0.11252900232018562,0.08004640371229699,-0.0091461716937355,4-seam fastball (FF),2319,0.3717119448037947,True,5
Gavin Williams,CU,518,82.02355212355212,0.14092664092664092,0.07915057915057915,0.014662162162162162,curveball (CU),2319,0.22337214316515738,True,5
Gavin Williams,ST,475,86.52105263157895,0.1936842105263158,0.06947368421052631,0.003858947368421053,sweeper (ST),2319,0.20482966796032773,True,5
Gavin Williams,FC,319,91.7962382445141,0.09090909090909091,0.13166144200626959,0.0013887147335423199,cutter (FC),2319,0.1375592927986201,True,5
Gavin Williams,SI,143,95.9013986013986,0.04895104895104895,0.1048951048951049,0.006958041958041959,sinker (SI),2319,0.06166451056489866,True,5
Gavin Williams,CH,2,87.55000000000001,0.0,0.0,0.002999999999999999,changeup (CH),2319,0.0008624407072013799,False,5
