target_pitch_type,target_pitch_label,feature,mean_abs_shap
SI,sinker (SI),Pitcher: Michael Lorenzen,0.0
SI,sinker (SI),Pitcher: Merrill Kelly,0.0
SI,sinker (SI),Pitcher: Luis Castillo,0.0
SI,sinker (SI),Pitcher: Joe Ryan,0.0
SI,sinker (SI),Pitcher: Jack Leiter,0.0
SI,sinker (SI),Pitcher: Seth Lugo,0.0
CH,changeup (CH),Previous pitch: CH,0.024309562822744536
CH,changeup (CH),prev release speed,0.02346882157199541
CH,changeup (CH),Two pitches ago: CH,0.014918517562567329
CH,changeup (CH),Previous result: START,0.011266989189285738
CH,changeup (CH),strikes,0.010204799118457541
CH,changeup (CH),Previous pitch: START,0.0093075649553419
CH,changeup (CH),balls,0.009207224000226156
CH,changeup (CH),Batter side: L,0.0066805251440099555
CH,changeup (CH),Previous pitch: FS,0.006580913871266219
CH,changeup (CH),pitch number,0.006352999672149117
CH,changeup (CH),Batter side: R,0.005416755934281365
CH,changeup (CH),Count: 0-0,0.005322537857283999
CH,changeup (CH),Pitcher: Cristopher Sánchez,0.0033943427035913677
CH,changeup (CH),Two pitches ago: FS,0.003365862784889338
CH,changeup (CH),Previous pitch: FF,0.0032383785054070557
CH,changeup (CH),Pitcher: Brady Singer,0.0027269336680796064
CH,changeup (CH),Count: 0-1,0.002613594400067246
CH,changeup (CH),Previous result: foul,0.0025880112989017253
CH,changeup (CH),Pitcher: Andre Pallante,0.002451725083472992
CH,changeup (CH),Pitcher: Yoshinobu Yamamoto,0.0023088505151152676
CH,changeup (CH),Pitcher: Gavin Williams,0.002293888217181435
CH,changeup (CH),Count: 1-1,0.002197700698666511
CH,changeup (CH),Pitcher: Garrett Crochet,0.0021864690307788416
CH,changeup (CH),Pitcher: Kyle Hendricks,0.002182251722530749
CH,changeup (CH),Pitcher: Logan Webb,0.0021742821890926222
CH,changeup (CH),Two pitches ago: START,0.0019274427610722108
CH,changeup (CH),Previous pitch: ST,0.0019251321100250173
CH,changeup (CH),Previous pitch: CU,0.0019217316888499158
CH,changeup (CH),Pitcher: Zack Littell,0.001859079567920893
CH,changeup (CH),Pitcher: Mitchell Parker,0.0018102872791219617
CH,changeup (CH),Two pitches ago: SI,0.0017868222020259244
CH,changeup (CH),Pitcher: Tarik Skubal,0.0017792102750250193
CH,changeup (CH),score diff batting team,0.001771593279412476
CH,changeup (CH),Pitcher: Dylan Cease,0.0017332120338783947
CH,changeup (CH),Pitcher: Joe Ryan,0.0017023656342832214
CH,changeup (CH),Pitcher: Nick Pivetta,0.0016714392080326363
CH,changeup (CH),Base state: ---,0.001599167325164045
CH,changeup (CH),Pitcher: Dean Kremer,0.0015894020330458195
CH,changeup (CH),Pitcher: Kevin Gausman,0.0015815994440607376
CH,changeup (CH),Previous pitch: SL,0.0014162978721432235
CH,changeup (CH),Count: 2-2,0.0013736043431354142
CH,changeup (CH),Pitcher: Zack Wheeler,0.0013084255110856543
CH,changeup (CH),Pitcher: Tyler Anderson,0.0012334552904700099
CH,changeup (CH),Pitcher: Jeffrey Springs,0.001176931120335583
CH,changeup (CH),Previous pitch: SI,0.00114164230079684
CH,changeup (CH),Count: 3-0,0.0011388053619425383
CH,changeup (CH),Count: 2-0,0.001102996684042978
CH,changeup (CH),Pitcher: Drew Rasmussen,0.0010493997619288632
CH,changeup (CH),Previous pitch: KC,0.0010468902000038392
CH,changeup (CH),Previous result: ball,0.0010096328823757407
CH,changeup (CH),Pitcher: José Soriano,0.0009952576189831456
CH,changeup (CH),Pitcher: Taijuan Walker,0.0009393007152331253
CH,changeup (CH),Previous result: swinging_strike,0.0009171890771714283
CH,changeup (CH),Pitcher: Tomoyuki Sugano,0.0008917951409399509
CH,changeup (CH),Count: 3-1,0.0008706085190404604
CH,changeup (CH),Pitcher: Colin Rea,0.0008674453332995213
CH,changeup (CH),Pitcher: Zac Gallen,0.00082037523757961
CH,changeup (CH),Two pitches ago: FF,0.0008071855534718604
CH,changeup (CH),Count: 1-2,0.0008006013153367884
CH,changeup (CH),Pitcher: Merrill Kelly,0.0007770909271897342
CH,changeup (CH),Pitcher: Chris Bassitt,0.0007351871724543279
CH,changeup (CH),Pitcher: Taj Bradley,0.0007130030748634824
CH,changeup (CH),Previous result: called_strike,0.000709842463929146
CH,changeup (CH),Count: 1-0,0.0006836334302398331
CH,changeup (CH),Pitcher: Casey Mize,0.0006606390868210299
CH,changeup (CH),Count: 3-2,0.0006397153143772315
CH,changeup (CH),Pitcher: Dustin May,0.0006345073433251399
CH,changeup (CH),Two pitches ago: CU,0.0006342883990435355
CH,changeup (CH),Pitcher: Nick Martinez,0.0006268064664847444
CH,changeup (CH),Two pitches ago: FC,0.0006214702055576882
CH,changeup (CH),Pitcher: Jack Flaherty,0.0006211516629481819
CH,changeup (CH),Two pitches ago: SL,0.0006170510786946077
CH,changeup (CH),Previous pitch: FC,0.000613804447757287
CH,changeup (CH),Pitcher: Ryan Pepiot,0.0006000132427640465
CH,changeup (CH),Pitcher: Shota Imanaga,0.0005727195570860683
CH,changeup (CH),Two pitches ago: ST,0.0005138148689324158
CH,changeup (CH),Pitcher: Matthew Boyd,0.00047638810205361264
CH,changeup (CH),Pitcher: Chris Paddack,0.0004574181996965805
CH,changeup (CH),Two pitches ago: KC,0.00045617730762356724
CH,changeup (CH),Pitcher: Bailey Ober,0.0004294939403018071
CH,changeup (CH),Pitcher: Sonny Gray,0.000424004152795212
CH,changeup (CH),Base state: -2-,0.000411152205357505
CH,changeup (CH),Base state: 1--,0.000406858866887509
CH,changeup (CH),Pitcher: Michael Wacha,0.00037017634341459835
CH,changeup (CH),Base state: 1-3,0.0003595388981040807
CH,changeup (CH),Pitcher: Sandy Alcantara,0.000338483201586105
CH,changeup (CH),Base state: 12-,0.0003127534766620496
CH,changeup (CH),Count: 0-2,0.00030971666858319784
CH,changeup (CH),Pitcher: Justin Verlander,0.0002978608688008411
CH,changeup (CH),Pitcher: Logan Gilbert,0.00029206527036305794
CH,changeup (CH),Pitcher: Luis Severino,0.0002860026587881738
CH,changeup (CH),Pitcher: Eduardo Rodriguez,0.0002848379528652006
CH,changeup (CH),Pitcher: Davis Martin,0.00027107346723776544
CH,changeup (CH),Pitcher: Freddy Peralta,0.00026667646143820224
CH,changeup (CH),Pitcher: Andrew Abbott,0.0002610858531236606
