target_pitch_type,target_pitch_label,term,beta,std_error,p_value,n_obs,r_squared
SI,sinker (SI),"C(count, Treatment(reference=""0-0""))[T.0-1]",-0.10459096091770348,0.04892953243549645,0.032550562548410794,209296,0.15725504350308828
SI,sinker (SI),"C(count, Treatment(reference=""0-0""))[T.0-2]",-0.17490616376832824,0.04896507911022801,0.0003541852507875083,209296,0.15725504350308828
SI,sinker (SI),"C(count, Treatment(reference=""0-0""))[T.1-0]",-0.05204555781382927,0.04891403227965586,0.2873191838897231,209296,0.15725504350308828
SI,sinker (SI),"C(count, Treatment(reference=""0-0""))[T.1-1]",-0.09868229472512673,0.048975282294459334,0.04391085183971695,209296,0.15725504350308828
SI,sinker (SI),"C(count, Treatment(reference=""0-0""))[T.1-2]",-0.14754411985656998,0.04896127927408647,0.002582651269631952,209296,0.15725504350308828
SI,sinker (SI),"C(count, Treatment(reference=""0-0""))[T.2-0]",-0.012326277505530068,0.04913580639137411,0.8019212635084276,209296,0.15725504350308828
SI,sinker (SI),"C(count, Treatment(reference=""0-0""))[T.2-1]",-0.06696725044412044,0.0490362874537497,0.17204343702617386,209296,0.15725504350308828
SI,sinker (SI),"C(count, Treatment(reference=""0-0""))[T.2-2]",-0.11411959774126995,0.048979166275364326,0.01980815797115539,209296,0.15725504350308828
SI,sinker (SI),"C(count, Treatment(reference=""0-0""))[T.3-0]",0.002983085007673334,0.04963092468949983,0.9520717144081982,209296,0.15725504350308828
SI,sinker (SI),"C(count, Treatment(reference=""0-0""))[T.3-1]",0.007458482742935518,0.049270024344566385,0.8796761821387881,209296,0.15725504350308828
SI,sinker (SI),"C(count, Treatment(reference=""0-0""))[T.3-2]",-0.060069020614678545,0.04903948051998293,0.220608590277673,209296,0.15725504350308828
SI,sinker (SI),"C(prev_pitch_type, Treatment(reference=""START""))[T.CH]",0.026307088089324613,0.04894763300610062,0.5909542355934186,209296,0.15725504350308828
SI,sinker (SI),"C(prev_pitch_type, Treatment(reference=""START""))[T.CS]",0.04417138284886224,0.05327177705276234,0.40700796885483737,209296,0.15725504350308828
SI,sinker (SI),"C(prev_pitch_type, Treatment(reference=""START""))[T.CU]",0.04654076349779231,0.048962313541629776,0.3418366324606753,209296,0.15725504350308828
SI,sinker (SI),"C(prev_pitch_type, Treatment(reference=""START""))[T.FC]",0.06654403530206317,0.049007412846596425,0.1745156909040444,209296,0.15725504350308828
SI,sinker (SI),"C(prev_pitch_type, Treatment(reference=""START""))[T.FF]",0.03491125121002794,0.0489037237936263,0.47530314485744163,209296,0.15725504350308828
SI,sinker (SI),"C(prev_pitch_type, Treatment(reference=""START""))[T.FS]",0.044479314325430744,0.04906482090541927,0.36464911559141955,209296,0.15725504350308828
SI,sinker (SI),"C(prev_pitch_type, Treatment(reference=""START""))[T.KC]",0.04515675822668939,0.0491092239529971,0.35782530362353326,209296,0.15725504350308828
SI,sinker (SI),"C(prev_pitch_type, Treatment(reference=""START""))[T.PO]",0.018829677970971744,0.10265950574493954,0.8544694669500233,209296,0.15725504350308828
SI,sinker (SI),"C(prev_pitch_type, Treatment(reference=""START""))[T.SI]",0.1096625251044023,0.04898724758238207,0.02518238941389408,209296,0.15725504350308828
SI,sinker (SI),"C(prev_pitch_type, Treatment(reference=""START""))[T.SL]",0.07671401814808967,0.048959644142305726,0.11714211811248615,209296,0.15725504350308828
SI,sinker (SI),"C(prev_pitch_type, Treatment(reference=""START""))[T.ST]",0.08911800495747497,0.04906567491214155,0.06932430397212257,209296,0.15725504350308828
SI,sinker (SI),"C(prev_pitch_type, Treatment(reference=""START""))[T.SV]",0.0840155205159565,0.051327217491876714,0.10165951661152738,209296,0.15725504350308828
SI,sinker (SI),"C(prev_pitch_type, Treatment(reference=""START""))[T.UN]",0.055388702954178054,0.16256247639664362,0.7333124541840323,209296,0.15725504350308828
SI,sinker (SI),"C(stand, Treatment(reference=""L""))[T.R]",0.06546316638908542,0.0016525791915548403,0.0,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Andrew Abbott],-0.13101043656460967,0.007253001054886028,6.242190604250947e-73,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Andrew Heaney],-0.025943858989424307,0.01069928990368216,0.015315951584309737,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Antonio Senzatela],-0.1154440218932215,0.00738641550529872,4.6029777856068e-55,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Bailey Ober],-0.08407900044732342,0.008129600659721237,4.533851577118341e-25,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Brad Lord],0.05754168982583582,0.011467945212323515,5.231793239157121e-07,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Brady Singer],0.26877119085825185,0.012507933826539825,2.0136460784992793e-102,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Brandon Pfaadt],0.1060134482987807,0.011083210195771489,1.1195289218248584e-21,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Brayan Bello],0.2192574662266653,0.012232508145694676,7.639198533974455e-72,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Bryan Woo],0.13512565451122344,0.011530289872356663,1.0163947931171093e-31,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Bryce Elder],0.2794212579005261,0.012938255971726476,1.936819493498533e-103,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Cal Quantrill],0.08260302666865678,0.012311171029674108,1.9515934177752812e-11,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Carlos Rodón],-0.04262059909194888,0.00934590381335382,5.106825806643395e-06,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Casey Mize],0.009008144234827407,0.010363433810535004,0.3847246836886681,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Charlie Morton],0.03103017321081391,0.010501698341004109,0.0031289546488087647,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Chris Bassitt],0.2723070538634074,0.012357356466203147,1.3005920677708365e-107,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Chris Paddack],-0.061697338884738266,0.008513728894994469,4.2671549038289356e-13,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Clay Holmes],0.26091585635154435,0.012385595870966088,1.6289653288640003e-98,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Colin Rea],-0.015800152408574714,0.009782852614795457,0.10629198133167948,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Cristopher Sánchez],0.30933405514120604,0.01249093812791059,2.1544309076196146e-135,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.David Peterson],0.14841852972768696,0.01204452434137185,6.854472467745598e-35,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Davis Martin],-0.015999774956134416,0.009803390911566127,0.10266571296582566,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Dean Kremer],0.06783302292004365,0.01090450645010188,4.951270122470797e-10,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Drew Rasmussen],0.11048780750670198,0.012048856442686504,4.7309409440051456e-20,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Dustin May],0.20301215604543082,0.013189126842590732,1.8411054770338471e-53,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Dylan Cease],-0.08776965608995138,0.008070881769996884,1.5189977220795063e-27,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Eduardo Rodriguez],-0.04765336051536981,0.009755927961917817,1.0366303836539587e-06,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Edward Cabrera],0.07820720175244163,0.011577642258977124,1.4281583175035293e-11,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Erick Fedde],0.1888354321237664,0.012765133053048293,1.6238952206608854e-49,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Framber Valdez],0.30179231795137407,0.012435386212911468,4.183911095738627e-130,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Freddy Peralta],-0.11168155637250153,0.007193223431830744,2.3158497905692246e-54,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Garrett Crochet],0.01812490004577177,0.010332849822111733,0.07941257498237864,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Gavin Williams],-0.06220856349678561,0.00866625563827053,7.060852806102261e-13,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Germán Márquez],0.07734590373940062,0.011970456698214655,1.0373899605207046e-10,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Hunter Brown],0.10399737300743034,0.010838316962400573,8.3638128655914005e-22,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.JP Sears],-0.07753726056494255,0.009330918308919717,9.593317122840203e-17,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Jack Flaherty],-0.0995552189193239,0.00757497700716142,1.8755914370860497e-39,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Jack Leiter],-0.00010563825551457556,0.010128226066823889,0.991678147352291,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Jacob deGrom],-0.11738928697002768,0.007206904351250768,1.192162815859906e-59,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Jake Irvin],0.10069844221000071,0.010868722263925797,1.951226709080318e-20,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Jeffrey Springs],-0.1392970161336818,0.007233428330803636,1.2237287296582609e-82,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Jesús Luzardo],-0.03996798648276581,0.009579929155491508,3.0186541619931165e-05,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Joe Ryan],0.006173412863579218,0.00994066015663223,0.5345822218897847,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.Jose Quintana],0.28198088290887835,0.013882329752514588,1.0027612894033587e-91,209296,0.15725504350308828
SI,sinker (SI),C(pitcher_name)[T.José Berríos],0.1999093874212584,0.012752842700521126,2.218637830215814e-55,209296,0.15725504350308828
